alimento,categoria,calorias,proteinas,carbohidratos,grasas,fibra,region,preparacion
Pastel de chocolate chocolate sin azucar,Postre,450,7.6,61.2,7.9,4.8,Asia,Horno
Helado de vainilla mango bajo en grasas,Postre,498,7.1,59.5,27.3,3.4,Oceania,Cocido
Tarta de manzana naranja vegetariano,Postre,202,7.7,54.0,10.3,4.4,Africa,Cocido
Flan vainilla alto en fibra,Postre,582,5.1,47.3,9.6,4.5,Europa,Horno
Brownie limon bajo en grasas,Postre,475,5.6,53.9,15.7,4.0,Asia,Asado
Mousse de limon limon integral,Postre,618,6.3,32.5,16.3,4.3,Asia,Asado
Galletas de avena vainilla integral,Postre,249,5.8,39.4,12.2,3.0,Asia,Frito
Pan dulce mango sin gluten,Postre,617,2.5,70.0,16.2,2.9,Africa,Frito
Churros manzana sin gluten,Postre,694,2.6,32.4,16.3,4.8,Europa,Horno
Arroz con leche vainilla sin gluten,Postre,278,7.8,31.5,12.1,1.4,America,Frito
Pastel de zanahoria mango integral,Postre,630,3.3,30.0,25.0,3.4,Africa,Horno
Helado de fresa manzana vegetariano,Postre,313,4.7,62.9,9.5,1.1,Africa,Frito
Tarta de queso vainilla alto en fibra,Postre,655,4.4,61.1,11.9,2.1,Oceania,Cocido
Panna cotta vainilla vegetariano,Postre,509,7.0,79.5,17.6,3.5,America,Horno
Crema catalana limon vegetariano,Postre,500,6.3,48.9,22.6,1.5,Asia,Frito
Galletas de chocolate manzana bajo en grasas,Postre,485,6.1,42.1,19.2,1.2,Oceania,Asado
Pastel selva negra manzana vegetariano,Postre,343,2.3,58.4,9.8,2.4,Europa,Frito
Cheesecake de limon manzana vegetariano,Postre,589,3.9,77.5,17.6,4.9,Africa,Crudo
Yogur natural manzana alto en fibra,Postre,221,3.2,55.8,18.7,2.8,Europa,Cocido
Yogur de frutas fresa integral,Postre,663,2.7,42.4,8.3,1.8,America,Asado
Sopa de verduras fresa alto en fibra,Primero,474,5.7,26.3,7.3,5.5,America,Frito
Ensalada Cesar naranja alto en fibra,Primero,526,8.5,39.6,11.0,7.8,Oceania,Horno
Crema de calabaza chocolate sin azucar,Primero,202,10.1,36.8,5.5,9.1,Africa,Crudo
Minestrone fresa sin azucar,Primero,327,12.9,39.1,5.8,3.2,Europa,Horno
Gazpacho mango vegetariano,Primero,591,11.0,23.7,9.9,4.2,America,Frito
Sopa de pollo naranja integral,Primero,644,6.9,30.7,9.6,4.4,Oceania,Cocido
Caldo gallego naranja sin azucar,Primero,595,6.1,20.8,5.5,8.0,Europa,Cocido
Salmorejo mango vegetariano,Primero,592,6.7,28.3,11.3,8.0,Oceania,Asado
Crema de esparragos naranja sin azucar,Primero,201,14.4,15.4,8.1,4.7,Oceania,Horno
Consome fresa sin gluten,Primero,521,5.8,21.9,12.6,4.5,America,Horno
Ensalada griega fresa sin gluten,Primero,324,14.1,26.7,8.3,7.2,Europa,Cocido
Ensalada caprese naranja bajo en grasas,Primero,276,14.3,32.3,13.3,8.4,Europa,Cocido
Crema de champiñones fresa alto en fibra,Primero,328,11.8,20.1,14.9,7.3,Africa,Crudo
Vichyssoise limon bajo en grasas,Primero,625,8.7,27.4,10.2,4.4,Europa,Horno
Sopa de lentejas vainilla sin gluten,Primero,257,8.9,27.7,12.7,4.7,Africa,Horno
Ensalada rusa vainilla sin gluten,Primero,686,9.8,26.2,10.4,3.7,Africa,Horno
Crema de zanahoria limon vegetariano,Primero,573,13.9,20.1,12.3,4.9,Oceania,Asado
Ensalada de quinoa manzana bajo en grasas,Primero,576,14.7,25.6,3.9,2.4,Europa,Frito
Ensalada de pasta chocolate bajo en grasas,Primero,388,8.6,30.3,5.9,6.9,Europa,Cocido
Sopa miso coco integral,Primero,521,11.5,22.8,5.2,2.6,Europa,Asado
Pollo asado manzana vegetariano,Segundo,641,41.1,16.0,33.0,0.1,America,Asado
Salmon al horno coco vegetariano,Segundo,624,45.5,20.6,12.8,3.7,America,Frito
Chuletas de cerdo vainilla alto en fibra,Segundo,618,49.5,7.8,18.9,3.3,America,Horno
Lomo de res vainilla integral,Segundo,669,42.4,12.3,38.4,1.2,Oceania,Cocido
Pescado frito mango bajo en grasas,Segundo,250,40.3,18.4,11.4,2.8,America,Asado
Estofado de ternera manzana sin gluten,Segundo,472,22.9,17.0,35.2,4.5,Asia,Crudo
Paella limon sin azucar,Segundo,677,32.2,29.7,19.8,4.1,America,Cocido
Fajitas de pollo manzana vegetariano,Segundo,644,25.8,19.6,31.7,4.8,Asia,Horno
Tacos de pescado fresa alto en fibra,Segundo,548,17.2,9.7,15.7,2.2,Oceania,Crudo
Hamburguesa casera manzana sin gluten,Segundo,470,16.0,24.8,37.9,3.2,America,Horno
Curry de pollo naranja alto en fibra,Segundo,699,39.1,15.8,14.2,2.0,Africa,Crudo
Pollo al curry coco bajo en grasas,Segundo,462,48.7,14.6,12.2,3.2,Asia,Crudo
Filete de pescado fresa integral,Segundo,444,27.8,18.1,24.6,0.6,Africa,Frito
Carne guisada naranja sin gluten,Segundo,421,35.1,13.4,28.1,0.4,America,Horno
Costillas de cerdo fresa alto en fibra,Segundo,199,35.3,29.9,28.4,4.8,Europa,Frito
Arroz con pollo manzana alto en fibra,Segundo,274,44.5,13.0,37.2,1.3,Oceania,Cocido
Lasaña vainilla integral,Segundo,434,19.5,8.7,39.4,0.2,Africa,Horno
Pizza margarita limon integral,Segundo,678,44.2,21.6,20.7,2.1,Europa,Crudo
Pizza de pepperoni fresa sin azucar,Segundo,389,41.0,20.9,34.2,3.3,Africa,Asado
Pasta boloñesa fresa vegetariano,Segundo,557,38.6,6.5,17.9,4.3,America,Asado
Pastel de chocolate limon sin gluten,Postre,332,3.2,60.8,22.4,4.9,America,Asado
Helado de vainilla mango sin gluten,Postre,518,4.1,66.7,12.4,1.2,America,Frito
Tarta de manzana coco bajo en grasas,Postre,456,6.3,75.9,22.0,3.9,Asia,Asado
Flan mango bajo en grasas,Postre,510,6.5,61.3,24.2,3.2,Africa,Frito
Brownie mango integral,Postre,171,6.7,32.5,23.0,2.2,Asia,Horno
Mousse de limon chocolate sin gluten,Postre,238,3.1,36.5,20.7,4.2,Asia,Asado
Galletas de avena chocolate sin azucar,Postre,385,6.1,65.9,18.1,2.4,Europa,Horno
Pan dulce chocolate vegetariano,Postre,482,3.4,69.8,28.6,3.6,Africa,Horno
Churros manzana bajo en grasas,Postre,617,2.3,41.4,26.3,2.9,America,Horno
Arroz con leche chocolate sin gluten,Postre,485,6.8,34.8,16.1,2.7,Asia,Crudo
Pastel de zanahoria limon bajo en grasas,Postre,635,2.6,74.6,29.6,1.3,Africa,Crudo
Helado de fresa fresa bajo en grasas,Postre,229,2.6,46.5,13.2,1.2,Europa,Frito
Tarta de queso vainilla vegetariano,Postre,489,6.8,67.0,28.6,1.1,Europa,Frito
Panna cotta coco bajo en grasas,Postre,260,5.2,74.1,8.0,1.8,Asia,Frito
Crema catalana naranja sin gluten,Postre,502,5.3,33.9,27.3,2.3,Asia,Asado
Galletas de chocolate manzana sin azucar,Postre,387,2.7,76.2,14.3,2.9,Africa,Cocido
Pastel selva negra chocolate bajo en grasas,Postre,440,4.2,49.0,26.3,4.1,Europa,Horno
Cheesecake de limon limon integral,Postre,544,7.8,42.8,21.8,3.4,Africa,Cocido
Yogur natural limon sin gluten,Postre,449,7.5,59.2,23.3,3.5,America,Horno
Yogur de frutas limon alto en fibra,Postre,411,2.8,60.2,17.6,2.5,America,Crudo
Sopa de verduras manzana alto en fibra,Primero,185,14.7,32.9,2.5,10.0,Europa,Horno
Ensalada Cesar mango bajo en grasas,Primero,575,6.6,14.9,9.3,9.9,Africa,Horno
Crema de calabaza manzana vegetariano,Primero,275,5.3,36.6,9.2,2.3,Asia,Horno
Minestrone mango sin azucar,Primero,637,6.6,16.9,8.7,2.7,America,Horno
Gazpacho naranja sin azucar,Primero,403,8.6,15.1,12.2,2.3,Europa,Crudo
Sopa de pollo limon bajo en grasas,Primero,633,9.4,35.4,9.5,6.1,Asia,Frito
Caldo gallego chocolate vegetariano,Primero,290,5.5,25.3,4.3,5.1,Asia,Frito
Salmorejo mango sin azucar,Primero,414,8.2,14.2,3.5,8.2,Africa,Horno
Crema de esparragos vainilla alto en fibra,Primero,178,5.3,13.2,3.5,4.9,America,Asado
Consome naranja bajo en grasas,Primero,654,10.6,31.4,7.8,2.6,America,Horno
Ensalada griega manzana sin gluten,Primero,348,8.5,34.2,14.7,3.3,Asia,Crudo
Ensalada caprese chocolate vegetariano,Primero,555,5.3,39.0,6.8,9.8,Africa,Frito
Crema de champiñones limon vegetariano,Primero,601,10.6,33.3,13.4,2.8,Africa,Cocido
Vichyssoise limon sin gluten,Primero,243,13.1,23.7,11.9,2.4,Oceania,Horno
Sopa de lentejas coco vegetariano,Primero,291,13.0,34.4,8.7,5.3,America,Crudo
Ensalada rusa mango sin azucar,Primero,362,8.9,25.7,3.6,4.1,Europa,Cocido
Crema de zanahoria limon sin gluten,Primero,692,9.4,32.1,10.3,3.7,Africa,Asado
Ensalada de quinoa coco sin gluten,Primero,651,5.2,36.7,9.4,3.0,Oceania,Frito
Ensalada de pasta coco integral,Primero,639,7.5,18.1,6.4,5.3,Africa,Asado
Sopa miso vainilla vegetariano,Primero,430,10.1,17.9,11.8,4.8,Africa,Crudo
Pollo asado fresa bajo en grasas,Segundo,590,20.1,25.9,21.4,2.1,Oceania,Cocido
Salmon al horno chocolate integral,Segundo,551,22.3,9.0,38.0,2.3,Oceania,Frito
Chuletas de cerdo mango sin azucar,Segundo,474,48.0,18.0,26.8,2.1,Africa,Crudo
Lomo de res manzana sin azucar,Segundo,347,35.1,10.1,24.7,2.0,Africa,Cocido
Pescado frito chocolate alto en fibra,Segundo,228,43.6,24.9,10.8,0.4,Africa,Crudo
Estofado de ternera naranja sin gluten,Segundo,693,19.7,29.7,33.6,2.5,America,Horno
Paella coco bajo en grasas,Segundo,270,41.2,17.4,38.6,0.7,America,Frito
Fajitas de pollo chocolate alto en fibra,Segundo,600,40.5,10.9,34.8,2.3,Europa,Horno
Tacos de pescado manzana alto en fibra,Segundo,214,31.3,20.5,15.8,0.8,Asia,Horno
Hamburguesa casera naranja sin azucar,Segundo,161,26.8,11.3,10.7,1.7,Europa,Frito
Curry de pollo mango sin azucar,Segundo,243,39.9,24.7,26.9,3.6,Europa,Asado
Pollo al curry naranja bajo en grasas,Segundo,205,40.2,22.5,38.0,0.8,America,Frito
Filete de pescado mango integral,Segundo,571,40.2,8.7,22.9,2.7,Asia,Crudo
Carne guisada chocolate alto en fibra,Segundo,648,31.1,8.2,33.2,1.1,Oceania,Cocido
Costillas de cerdo vainilla sin azucar,Segundo,184,17.8,23.7,30.4,3.9,Oceania,Frito
Arroz con pollo fresa sin azucar,Segundo,342,36.7,22.6,35.8,4.0,Asia,Crudo
Lasaña fresa alto en fibra,Segundo,692,41.6,7.1,19.3,4.5,Europa,Horno
Pizza margarita coco sin azucar,Segundo,557,36.1,8.5,19.7,1.4,Asia,Cocido
Pizza de pepperoni mango sin gluten,Segundo,426,48.9,21.6,24.9,2.5,Africa,Asado
Pasta boloñesa mango alto en fibra,Segundo,660,45.9,29.8,26.8,3.5,Europa,Frito
Pastel de chocolate vainilla sin azucar,Postre,632,4.5,44.7,7.1,1.9,Asia,Horno
Helado de vainilla naranja sin azucar,Postre,464,7.8,67.5,15.8,1.4,America,Frito
Tarta de manzana mango bajo en grasas,Postre,561,5.1,35.1,13.3,5.0,Europa,Frito
Flan coco sin azucar,Postre,505,3.7,32.9,21.3,3.8,Oceania,Frito
Brownie coco alto en fibra,Postre,639,2.6,72.6,6.5,2.3,Africa,Horno
Mousse de limon vainilla integral,Postre,311,2.5,54.6,11.0,2.3,Europa,Asado
Galletas de avena mango vegetariano,Postre,477,5.9,70.5,9.8,4.5,Europa,Horno
Pan dulce chocolate bajo en grasas,Postre,276,3.6,69.1,9.1,1.2,Oceania,Frito
Churros limon alto en fibra,Postre,165,4.2,35.8,25.8,1.2,Oceania,Crudo
Arroz con leche limon sin azucar,Postre,635,7.1,48.1,16.7,3.2,Oceania,Cocido
Pastel de zanahoria limon bajo en grasas,Postre,395,5.4,77.2,18.0,4.6,Africa,Horno
Helado de fresa vainilla sin azucar,Postre,583,4.3,55.2,28.5,3.9,Asia,Cocido
Tarta de queso mango bajo en grasas,Postre,380,6.5,75.2,13.9,3.4,Africa,Horno
Panna cotta naranja integral,Postre,370,7.7,63.7,13.3,1.6,Asia,Horno
Crema catalana mango integral,Postre,629,7.6,46.0,18.4,3.3,Oceania,Crudo
Galletas de chocolate chocolate vegetariano,Postre,305,5.3,65.2,22.1,2.2,Asia,Horno
Pastel selva negra manzana integral,Postre,686,6.5,54.0,10.7,2.2,Oceania,Frito
Cheesecake de limon manzana integral,Postre,182,5.6,34.0,28.3,3.1,Asia,Crudo
Yogur natural vainilla integral,Postre,618,5.1,48.4,30.0,2.7,America,Asado
Yogur de frutas coco integral,Postre,320,6.9,48.8,8.4,4.1,Europa,Frito
Sopa de verduras vainilla sin azucar,Primero,376,9.6,26.7,9.6,5.0,America,Horno
Ensalada Cesar naranja bajo en grasas,Primero,612,11.2,25.9,13.9,6.0,Europa,Frito
Crema de calabaza manzana bajo en grasas,Primero,256,7.2,33.2,2.6,4.4,Oceania,Frito
Minestrone coco alto en fibra,Primero,512,11.2,35.2,9.2,9.7,Oceania,Cocido
Gazpacho chocolate vegetariano,Primero,235,14.8,34.1,6.3,9.8,Africa,Frito
Sopa de pollo fresa vegetariano,Primero,427,12.7,29.4,15.0,6.5,America,Frito
Caldo gallego limon integral,Primero,261,11.4,20.5,3.4,6.7,Oceania,Frito
Salmorejo manzana sin gluten,Primero,481,10.8,23.4,14.0,2.5,America,Asado
Crema de esparragos naranja bajo en grasas,Primero,242,13.0,30.3,4.1,8.8,Africa,Frito
Consome chocolate alto en fibra,Primero,287,7.5,29.8,5.9,5.5,Oceania,Cocido
Ensalada griega coco bajo en grasas,Primero,227,14.9,30.9,3.7,9.9,Africa,Crudo
Ensalada caprese coco vegetariano,Primero,169,7.7,28.1,6.0,7.9,Oceania,Cocido
Crema de champiñones manzana alto en fibra,Primero,650,10.4,21.0,5.9,5.8,Asia,Asado
Vichyssoise mango vegetariano,Primero,262,13.7,11.6,13.4,3.8,Africa,Frito
Sopa de lentejas mango alto en fibra,Primero,674,14.4,20.8,8.3,6.9,Oceania,Cocido
Ensalada rusa chocolate integral,Primero,591,6.2,36.3,10.9,9.3,Africa,Crudo
Crema de zanahoria naranja vegetariano,Primero,508,5.3,30.1,12.9,7.8,Oceania,Crudo
Ensalada de quinoa limon vegetariano,Primero,346,7.8,33.9,8.1,8.9,Europa,Crudo
Ensalada de pasta coco sin azucar,Primero,541,14.1,19.8,4.4,8.4,Europa,Cocido
Sopa miso fresa vegetariano,Primero,528,5.0,24.1,14.7,7.7,Africa,Crudo
Pollo asado naranja sin gluten,Segundo,598,28.6,10.3,39.6,1.4,Europa,Horno
Salmon al horno naranja alto en fibra,Segundo,289,18.2,26.3,30.6,1.6,Europa,Crudo
Chuletas de cerdo limon integral,Segundo,166,37.8,23.1,11.8,3.9,Oceania,Horno
Lomo de res fresa integral,Segundo,528,38.7,10.4,14.3,0.9,Africa,Cocido
Pescado frito naranja alto en fibra,Segundo,358,40.8,20.3,36.4,1.2,Asia,Asado
Estofado de ternera mango vegetariano,Segundo,185,43.7,7.5,38.7,4.2,Europa,Asado
Paella coco sin azucar,Segundo,311,48.3,23.3,38.1,4.3,Africa,Frito
Fajitas de pollo fresa sin gluten,Segundo,485,46.1,22.3,18.6,0.0,Europa,Frito
Tacos de pescado mango vegetariano,Segundo,248,26.9,13.3,24.3,2.5,Europa,Frito
Hamburguesa casera mango integral,Segundo,178,36.0,25.9,12.2,3.6,Oceania,Crudo
Curry de pollo naranja sin gluten,Segundo,186,26.4,8.0,36.5,3.7,Asia,Horno
Pollo al curry fresa bajo en grasas,Segundo,231,16.0,27.8,28.7,3.1,America,Horno
Filete de pescado fresa vegetariano,Segundo,674,19.4,5.5,39.7,0.2,America,Cocido
Carne guisada vainilla integral,Segundo,345,22.6,10.0,20.9,3.5,Asia,Horno
Costillas de cerdo fresa bajo en grasas,Segundo,318,30.7,19.3,24.9,2.4,Africa,Frito
Arroz con pollo mango sin azucar,Segundo,443,38.4,28.5,35.0,0.2,Asia,Crudo
Lasaña coco sin gluten,Segundo,319,46.5,25.7,11.8,1.1,America,Frito
Pizza margarita fresa alto en fibra,Segundo,176,33.2,28.2,21.6,0.8,America,Horno
Pizza de pepperoni manzana sin azucar,Segundo,254,25.4,19.2,19.0,2.7,America,Crudo
Pasta boloñesa limon integral,Segundo,367,29.2,12.9,10.3,1.7,America,Cocido
Pastel de chocolate manzana sin gluten,Postre,435,7.5,32.2,19.3,3.7,Africa,Crudo
Helado de vainilla fresa sin gluten,Postre,463,5.8,33.0,22.7,1.8,America,Crudo
Tarta de manzana naranja alto en fibra,Postre,443,4.4,49.2,25.7,2.5,America,Frito
Flan limon alto en fibra,Postre,636,3.5,34.5,21.9,4.6,Asia,Asado
Brownie naranja bajo en grasas,Postre,543,7.7,63.1,6.7,3.6,Asia,Frito
Mousse de limon fresa sin gluten,Postre,304,7.0,43.8,5.4,1.6,Africa,Cocido
Galletas de avena vainilla sin gluten,Postre,265,4.2,73.9,28.6,3.9,Asia,Horno
Pan dulce mango sin gluten,Postre,250,7.3,77.5,16.1,4.8,Africa,Frito
Churros vainilla vegetariano,Postre,251,2.4,58.2,25.5,2.9,Oceania,Crudo
Arroz con leche manzana sin gluten,Postre,366,4.4,38.1,17.2,2.9,America,Crudo
Pastel de zanahoria chocolate bajo en grasas,Postre,665,5.0,70.0,11.5,4.8,Europa,Cocido
Helado de fresa mango integral,Postre,544,7.3,68.7,6.4,3.8,Africa,Asado
Tarta de queso fresa bajo en grasas,Postre,593,3.5,44.8,6.6,4.4,Asia,Asado
Panna cotta mango sin azucar,Postre,356,5.0,34.1,5.8,2.5,Africa,Asado
Crema catalana coco alto en fibra,Postre,269,7.5,31.2,23.0,2.2,America,Frito
Galletas de chocolate fresa sin gluten,Postre,245,4.7,47.7,6.8,2.3,America,Asado
Pastel selva negra fresa sin azucar,Postre,543,3.5,47.9,25.1,4.2,Europa,Asado
Cheesecake de limon fresa vegetariano,Postre,537,4.9,64.0,19.7,4.5,America,Crudo
Yogur natural coco sin gluten,Postre,354,5.4,68.0,9.2,3.1,Africa,Horno
Yogur de frutas vainilla sin azucar,Postre,387,2.2,37.4,13.5,2.2,Oceania,Frito
Sopa de verduras coco integral,Primero,253,10.3,11.6,13.5,7.7,America,Horno
Ensalada Cesar vainilla vegetariano,Primero,292,13.9,14.9,13.7,6.8,Asia,Crudo
Crema de calabaza chocolate integral,Primero,226,12.1,30.0,12.1,4.2,America,Asado
Minestrone chocolate vegetariano,Primero,695,8.5,30.8,11.8,9.8,Asia,Cocido
Gazpacho limon integral,Primero,649,11.5,16.3,7.1,8.6,Asia,Frito
Sopa de pollo coco bajo en grasas,Primero,325,9.3,36.0,13.6,7.4,Oceania,Cocido
Caldo gallego mango bajo en grasas,Primero,362,6.7,25.4,7.9,2.7,Oceania,Crudo
Salmorejo naranja integral,Primero,344,7.5,33.1,9.7,2.3,Asia,Cocido
Crema de esparragos fresa vegetariano,Primero,204,12.6,18.2,7.2,8.9,Oceania,Crudo
Consome mango integral,Primero,330,11.7,31.5,8.1,10.0,Africa,Asado
Ensalada griega coco bajo en grasas,Primero,357,14.1,15.7,7.2,5.6,Africa,Crudo
Ensalada caprese coco alto en fibra,Primero,559,13.0,36.2,6.6,8.8,Oceania,Crudo
Crema de champiñones coco integral,Primero,610,6.3,15.1,4.1,9.5,Asia,Horno
Vichyssoise naranja sin gluten,Primero,633,13.7,11.9,12.7,2.0,America,Cocido
Sopa de lentejas coco sin azucar,Primero,272,11.2,13.4,6.3,2.8,America,Crudo
Ensalada rusa manzana alto en fibra,Primero,511,8.1,22.1,7.6,9.5,Africa,Crudo
Crema de zanahoria chocolate bajo en grasas,Primero,372,7.9,22.8,10.4,4.4,America,Asado
Ensalada de quinoa chocolate vegetariano,Primero,314,14.5,17.3,5.9,9.8,America,Asado
Ensalada de pasta limon integral,Primero,631,11.2,29.5,10.9,4.3,Oceania,Crudo
Sopa miso mango alto en fibra,Primero,499,8.3,14.5,13.0,8.8,America,Cocido
Pollo asado mango integral,Segundo,589,15.4,19.1,28.1,3.5,Africa,Frito
Salmon al horno fresa sin gluten,Segundo,700,16.6,15.5,25.4,3.9,Oceania,Horno
Chuletas de cerdo coco bajo en grasas,Segundo,463,26.6,13.6,34.9,0.7,America,Frito
Lomo de res mango sin azucar,Segundo,239,45.5,26.3,25.8,0.4,Europa,Frito
Pescado frito vainilla vegetariano,Segundo,171,28.6,18.9,34.5,3.5,Europa,Asado
Estofado de ternera mango bajo en grasas,Segundo,632,36.0,25.4,16.1,1.9,America,Crudo
Paella fresa sin gluten,Segundo,309,48.4,11.8,25.1,4.2,Europa,Frito
Fajitas de pollo naranja vegetariano,Segundo,622,41.1,21.7,31.3,2.7,Africa,Crudo
Tacos de pescado coco sin gluten,Segundo,398,37.4,12.7,33.9,0.0,Africa,Horno
Hamburguesa casera coco sin azucar,Segundo,404,22.0,14.4,34.8,0.4,Oceania,Horno
Curry de pollo manzana bajo en grasas,Segundo,427,37.8,12.7,17.9,2.3,Asia,Asado
Pollo al curry fresa alto en fibra,Segundo,276,24.3,17.9,36.5,2.5,Asia,Crudo
Filete de pescado fresa alto en fibra,Segundo,247,48.7,28.6,39.7,2.2,Europa,Horno
Carne guisada naranja sin azucar,Segundo,417,39.0,5.5,30.9,1.1,America,Crudo
Costillas de cerdo fresa integral,Segundo,499,41.8,16.3,36.7,5.0,Africa,Cocido
Arroz con pollo naranja sin gluten,Segundo,582,30.4,6.3,10.6,4.6,Oceania,Asado
Lasaña vainilla vegetariano,Segundo,182,18.3,11.7,32.2,0.7,America,Crudo
Pizza margarita manzana alto en fibra,Segundo,612,32.8,23.0,15.6,1.8,Europa,Asado
Pizza de pepperoni fresa integral,Segundo,507,26.9,29.1,39.5,4.6,Oceania,Frito
Pasta boloñesa vainilla sin azucar,Segundo,687,40.0,26.2,14.3,3.2,Europa,Crudo
Pastel de chocolate naranja integral,Postre,543,5.2,55.4,24.8,4.0,Africa,Crudo
Helado de vainilla fresa alto en fibra,Postre,650,3.4,52.9,20.6,3.5,Africa,Horno
Tarta de manzana naranja bajo en grasas,Postre,180,5.7,50.0,7.0,1.6,Asia,Frito
Flan limon bajo en grasas,Postre,380,4.1,78.8,25.8,2.7,Europa,Frito
Brownie mango alto en fibra,Postre,657,6.4,66.9,21.4,1.2,Europa,Horno
Mousse de limon chocolate sin gluten,Postre,356,4.3,72.5,15.9,1.7,Asia,Frito
Galletas de avena mango sin gluten,Postre,248,2.5,72.2,29.4,1.9,Asia,Cocido
Pan dulce manzana bajo en grasas,Postre,245,3.2,42.7,25.9,4.2,Africa,Horno
Churros fresa vegetariano,Postre,508,5.1,45.6,26.5,3.3,America,Horno
