alimento,categoria,calorias,proteinas,carbohidratos,grasas,fibra,region,preparacion
Arroz con leche manzana integral,Postre,388,3.7,56.0,11.4,2.5,Oceania,Cocido
Pastel de zanahoria coco sin gluten,Postre,362,5.5,51.2,14.1,2.0,Oceania,Asado
Helado de fresa mango integral,Postre,649,2.7,79.8,24.2,1.5,Oceania,Crudo
Tarta de queso chocolate sin gluten,Postre,603,7.1,61.1,29.4,2.7,Asia,Cocido
Panna cotta manzana sin azucar,Postre,229,4.6,55.3,29.9,3.7,Europa,Cocido
Crema catalana limon alto en fibra,Postre,207,6.1,35.0,17.6,2.9,Oceania,Horno
Galletas de chocolate coco sin gluten,Postre,295,2.1,33.2,21.4,4.6,Africa,Horno
Pastel selva negra vainilla bajo en grasas,Postre,287,2.0,68.6,18.5,3.9,America,Cocido
Cheesecake de limon naranja bajo en grasas,Postre,335,4.7,46.0,17.4,2.2,Africa,Cocido
Yogur natural mango bajo en grasas,Postre,586,5.5,74.1,7.7,2.4,Oceania,Frito
Yogur de frutas vainilla alto en fibra,Postre,516,8.0,72.5,23.6,3.2,Europa,Horno
Sopa de verduras chocolate integral,Primero,211,12.9,27.0,13.8,7.1,America,Frito
Ensalada Cesar naranja alto en fibra,Primero,416,14.0,22.4,2.5,4.9,Africa,Frito
Crema de calabaza mango integral,Primero,550,8.5,16.5,6.4,9.1,Europa,Asado
Minestrone limon sin azucar,Primero,159,6.3,37.9,2.4,6.3,Africa,Crudo
Gazpacho coco sin azucar,Primero,200,9.6,19.5,8.5,9.5,Oceania,Crudo
Sopa de pollo mango sin azucar,Primero,408,11.5,38.0,5.0,2.9,America,Horno
Caldo gallego fresa alto en fibra,Primero,690,13.0,17.0,4.2,5.0,Asia,Asado
Salmorejo limon alto en fibra,Primero,519,13.9,29.3,8.4,7.3,Africa,Asado
Crema de esparragos vainilla integral,Primero,348,9.2,10.1,13.4,4.3,Oceania,Horno
Consome limon vegetariano,Primero,407,14.3,34.9,14.2,3.3,Oceania,Asado
Ensalada griega mango alto en fibra,Primero,624,8.5,25.9,9.2,4.4,Asia,Horno
Ensalada caprese limon alto en fibra,Primero,319,12.0,26.7,14.3,8.7,Africa,Horno
Crema de champiñones limon vegetariano,Primero,469,13.0,31.5,6.1,3.3,Europa,Cocido
Vichyssoise limon sin gluten,Primero,543,9.4,38.8,8.7,4.2,Asia,Frito
Sopa de lentejas fresa vegetariano,Primero,299,5.3,16.4,12.1,6.2,Asia,Crudo
Ensalada rusa fresa sin gluten,Primero,155,8.1,25.1,7.2,5.3,America,Asado
Crema de zanahoria fresa alto en fibra,Primero,218,13.9,16.6,14.6,9.9,Europa,Asado
Ensalada de quinoa fresa sin gluten,Primero,661,9.0,38.3,2.1,3.2,Europa,Asado
Ensalada de pasta vainilla vegetariano,Primero,305,12.0,14.9,8.6,2.2,Oceania,Cocido
Sopa miso fresa integral,Primero,426,9.2,21.7,7.9,5.8,Asia,Cocido
Pollo asado manzana integral,Segundo,302,43.1,10.4,19.5,2.9,Asia,Cocido
Salmon al horno limon alto en fibra,Segundo,391,30.4,27.9,34.5,2.9,Africa,Crudo
Chuletas de cerdo naranja alto en fibra,Segundo,290,47.3,6.7,24.4,2.3,Europa,Horno
Lomo de res manzana bajo en grasas,Segundo,410,40.3,22.9,12.6,1.5,Asia,Crudo
Pescado frito limon sin azucar,Segundo,603,35.6,12.0,31.5,4.7,Asia,Frito
Estofado de ternera naranja alto en fibra,Segundo,311,21.2,19.0,12.6,0.6,Oceania,Crudo
Paella naranja vegetariano,Segundo,299,19.5,9.8,24.5,4.4,America,Horno
Fajitas de pollo naranja alto en fibra,Segundo,493,46.6,25.8,25.0,3.4,America,Crudo
Tacos de pescado limon alto en fibra,Segundo,689,25.4,15.6,34.6,1.3,Africa,Cocido
Hamburguesa casera manzana sin azucar,Segundo,580,15.1,28.8,37.8,2.0,Oceania,Crudo
Curry de pollo vainilla sin azucar,Segundo,502,41.5,19.4,14.2,2.5,Europa,Asado
Pollo al curry naranja alto en fibra,Segundo,520,16.0,13.7,36.3,0.2,Oceania,Asado
Filete de pescado naranja vegetariano,Segundo,561,30.7,10.7,39.8,1.0,Oceania,Cocido
Carne guisada vainilla integral,Segundo,283,31.4,25.5,28.7,1.9,Europa,Frito
Costillas de cerdo chocolate alto en fibra,Segundo,447,41.9,9.5,36.3,1.5,Europa,Cocido
Arroz con pollo naranja bajo en grasas,Segundo,685,37.9,14.7,25.8,4.1,America,Asado
Lasaña fresa bajo en grasas,Segundo,341,49.9,16.9,30.8,4.8,Europa,Horno
Pizza margarita vainilla alto en fibra,Segundo,666,18.0,24.8,15.6,4.7,Asia,Crudo
Pizza de pepperoni fresa alto en fibra,Segundo,388,18.2,14.0,10.0,4.8,Asia,Horno
Pasta boloñesa limon alto en fibra,Segundo,331,31.0,23.7,28.5,2.1,Africa,Crudo
Pastel de chocolate naranja bajo en grasas,Postre,426,2.8,50.3,18.5,3.2,Asia,Horno
Helado de vainilla coco vegetariano,Postre,500,6.4,37.9,13.1,4.9,Oceania,Horno
Tarta de manzana manzana sin azucar,Postre,206,6.7,47.9,24.8,2.7,Asia,Horno
Flan limon alto en fibra,Postre,352,4.1,68.5,29.2,1.1,Africa,Horno
Brownie fresa sin gluten,Postre,208,6.0,70.9,19.6,4.7,America,Cocido
Mousse de limon vainilla sin gluten,Postre,676,7.5,30.6,16.8,4.0,America,Frito
Galletas de avena vainilla vegetariano,Postre,658,2.4,50.0,13.0,1.6,Africa,Crudo
Pan dulce coco sin gluten,Postre,414,7.4,66.5,23.3,2.3,America,Frito
Churros naranja integral,Postre,657,5.8,44.4,13.3,4.0,Africa,Frito
Arroz con leche limon sin azucar,Postre,253,4.6,31.5,20.6,3.7,Europa,Asado
Pastel de zanahoria naranja sin gluten,Postre,468,3.4,34.9,16.7,3.4,Europa,Asado
Helado de fresa vainilla vegetariano,Postre,413,5.2,45.8,7.8,4.1,America,Crudo
Tarta de queso naranja integral,Postre,257,3.4,41.1,16.2,2.5,Oceania,Horno
Panna cotta fresa bajo en grasas,Postre,375,5.2,65.5,24.7,4.6,Asia,Frito
Crema catalana naranja integral,Postre,645,3.5,53.4,5.5,1.7,Oceania,Horno
Galletas de chocolate vainilla vegetariano,Postre,362,4.3,35.8,22.8,3.4,Asia,Horno
Pastel selva negra vainilla alto en fibra,Postre,252,2.4,66.9,20.1,3.9,Oceania,Frito
Cheesecake de limon mango sin gluten,Postre,577,6.5,58.2,17.5,2.3,Asia,Cocido
Yogur natural chocolate bajo en grasas,Postre,305,3.3,63.4,8.1,1.1,Asia,Asado
Yogur de frutas manzana bajo en grasas,Postre,431,2.1,58.5,14.0,1.2,Africa,Asado
Sopa de verduras naranja bajo en grasas,Primero,223,5.8,20.1,3.8,9.6,Asia,Asado
Ensalada Cesar coco alto en fibra,Primero,469,10.3,21.6,8.3,7.7,America,Horno
Crema de calabaza vainilla bajo en grasas,Primero,348,10.2,39.7,14.0,7.8,America,Horno
Minestrone coco sin gluten,Primero,637,8.0,15.3,6.7,6.5,Oceania,Frito
Gazpacho mango bajo en grasas,Primero,604,13.5,11.8,13.1,3.1,Asia,Cocido
Sopa de pollo limon sin azucar,Primero,157,12.9,23.8,5.0,3.7,Africa,Cocido
Caldo gallego coco vegetariano,Primero,607,5.2,37.2,12.7,2.8,Europa,Crudo
Salmorejo manzana bajo en grasas,Primero,387,12.9,23.2,7.5,8.6,Africa,Asado
Crema de esparragos mango alto en fibra,Primero,157,10.1,11.0,3.5,2.1,Oceania,Horno
Consome coco sin azucar,Primero,213,9.2,16.9,2.7,6.0,Oceania,Crudo
Ensalada griega mango alto en fibra,Primero,220,7.5,26.2,10.9,2.1,Asia,Crudo
Ensalada caprese fresa sin gluten,Primero,420,5.4,13.4,10.6,4.6,Europa,Asado
Crema de champiñones coco sin azucar,Primero,630,9.2,29.4,12.0,2.5,Africa,Frito
Vichyssoise fresa sin gluten,Primero,399,8.5,33.7,9.5,5.0,America,Cocido
Sopa de lentejas fresa sin azucar,Primero,426,14.9,15.6,10.1,7.4,Asia,Crudo
Ensalada rusa limon vegetariano,Primero,501,5.8,21.5,2.9,8.4,Asia,Cocido
Crema de zanahoria mango alto en fibra,Primero,305,7.5,15.3,4.1,3.8,America,Horno
Ensalada de quinoa manzana alto en fibra,Primero,210,8.4,14.9,5.7,4.9,Asia,Cocido
Ensalada de pasta manzana vegetariano,Primero,640,7.3,23.3,2.7,6.8,Africa,Frito
Sopa miso limon integral,Primero,493,6.6,11.5,2.5,8.4,Europa,Asado
Pollo asado limon alto en fibra,Segundo,531,43.3,17.4,36.4,4.1,Africa,Cocido
Salmon al horno mango alto en fibra,Segundo,597,34.7,22.1,13.6,4.2,America,Horno
Chuletas de cerdo vainilla alto en fibra,Segundo,223,20.3,5.1,15.4,1.4,America,Crudo
Lomo de res vainilla vegetariano,Segundo,525,40.8,25.4,36.8,2.4,Africa,Cocido
Pescado frito chocolate bajo en grasas,Segundo,406,44.5,12.4,10.4,4.1,America,Frito
Estofado de ternera chocolate integral,Segundo,500,33.5,18.2,14.0,3.1,America,Horno
Paella limon bajo en grasas,Segundo,163,47.9,22.0,29.3,4.4,America,Horno
Fajitas de pollo mango sin azucar,Segundo,312,16.3,17.2,13.3,2.9,Oceania,Horno
Tacos de pescado coco integral,Segundo,247,48.7,18.8,17.3,1.3,Africa,Asado
Hamburguesa casera coco sin azucar,Segundo,375,35.4,16.6,14.0,0.6,America,Cocido
Curry de pollo mango sin azucar,Segundo,631,41.3,23.2,37.2,1.2,America,Cocido
Pollo al curry coco integral,Segundo,438,31.3,26.5,25.0,2.5,America,Asado
Filete de pescado vainilla vegetariano,Segundo,222,34.7,12.3,26.3,2.9,Asia,Crudo
Carne guisada mango integral,Segundo,369,46.2,22.9,16.7,3.1,America,Crudo
Costillas de cerdo vainilla bajo en grasas,Segundo,492,44.8,12.4,20.7,2.5,Africa,Asado
Arroz con pollo naranja vegetariano,Segundo,674,23.9,9.9,36.0,3.8,Africa,Crudo
Lasaña fresa sin azucar,Segundo,492,46.4,28.5,26.5,4.7,Africa,Horno
Pizza margarita mango bajo en grasas,Segundo,624,47.9,11.3,36.8,1.0,Africa,Crudo
Pizza de pepperoni mango integral,Segundo,401,44.1,27.2,33.8,0.8,Oceania,Cocido
Pasta boloñesa coco vegetariano,Segundo,599,40.1,28.3,36.8,3.2,Africa,Cocido
Pastel de chocolate vainilla integral,Postre,363,7.1,51.4,29.4,3.3,Asia,Cocido
Helado de vainilla mango integral,Postre,621,5.0,42.5,8.9,1.9,America,Cocido
Tarta de manzana naranja bajo en grasas,Postre,386,5.5,62.9,15.3,4.7,Oceania,Frito
Flan naranja sin gluten,Postre,198,5.7,44.4,23.4,2.9,Africa,Asado
Brownie naranja sin gluten,Postre,265,2.9,68.9,27.8,4.7,America,Frito
Mousse de limon coco vegetariano,Postre,284,5.1,44.9,6.2,2.2,Africa,Crudo
Galletas de avena mango sin gluten,Postre,338,7.1,54.0,16.8,3.5,Asia,Horno
Pan dulce fresa sin azucar,Postre,624,2.0,63.6,15.6,2.5,Asia,Cocido
Churros naranja sin azucar,Postre,436,2.0,66.9,8.4,1.2,Europa,Crudo
Arroz con leche chocolate alto en fibra,Postre,585,2.7,71.5,18.3,1.7,Africa,Cocido
Pastel de zanahoria fresa sin azucar,Postre,602,7.7,50.0,6.2,2.0,Africa,Cocido
Helado de fresa fresa sin gluten,Postre,182,5.0,62.2,21.6,4.5,Oceania,Cocido
Tarta de queso manzana bajo en grasas,Postre,282,2.0,41.5,9.4,1.1,Europa,Asado
Panna cotta vainilla sin azucar,Postre,165,7.5,54.6,14.6,4.2,Europa,Frito
Crema catalana coco alto en fibra,Postre,201,5.7,35.2,23.9,4.5,America,Asado
Galletas de chocolate coco vegetariano,Postre,657,2.9,43.5,7.6,2.8,Africa,Crudo
Pastel selva negra vainilla alto en fibra,Postre,301,5.4,43.9,20.0,4.3,Oceania,Frito
Cheesecake de limon mango alto en fibra,Postre,658,5.2,71.0,19.1,1.5,America,Asado
Yogur natural vainilla integral,Postre,593,4.7,66.9,20.7,4.2,Oceania,Horno
Yogur de frutas chocolate alto en fibra,Postre,672,4.3,58.3,9.3,4.9,Asia,Frito
Sopa de verduras naranja vegetariano,Primero,649,6.7,23.7,9.7,5.9,Oceania,Horno
Ensalada Cesar chocolate vegetariano,Primero,442,7.3,10.8,12.9,3.6,Europa,Frito
Crema de calabaza mango vegetariano,Primero,381,11.6,27.3,5.3,4.0,Europa,Asado
Minestrone chocolate bajo en grasas,Primero,610,10.7,38.4,6.8,6.1,America,Cocido
Gazpacho coco vegetariano,Primero,649,14.7,20.9,2.8,7.2,Africa,Frito
Sopa de pollo manzana sin gluten,Primero,370,12.7,10.8,8.8,4.5,Asia,Asado
Caldo gallego chocolate sin gluten,Primero,462,12.1,33.4,11.1,4.5,Oceania,Asado
Salmorejo manzana vegetariano,Primero,337,14.8,22.3,9.0,7.3,Asia,Cocido
Crema de esparragos limon sin gluten,Primero,192,14.8,38.9,3.8,5.8,Africa,Crudo
Consome chocolate vegetariano,Primero,212,9.6,14.1,4.8,3.9,Asia,Crudo
Ensalada griega naranja integral,Primero,193,7.9,20.9,12.9,3.5,Oceania,Crudo
Ensalada caprese limon sin gluten,Primero,372,9.2,20.4,4.4,2.4,Oceania,Crudo
Crema de champiñones vainilla sin gluten,Primero,444,14.5,38.6,10.5,7.3,America,Horno
Vichyssoise mango sin azucar,Primero,410,7.0,24.8,13.6,4.4,America,Crudo
Sopa de lentejas manzana sin gluten,Primero,542,5.5,33.0,13.3,9.8,Asia,Crudo
Ensalada rusa fresa sin gluten,Primero,435,5.2,22.5,2.1,4.8,Oceania,Frito
Crema de zanahoria manzana alto en fibra,Primero,262,9.9,38.7,3.2,2.6,Asia,Horno
Ensalada de quinoa vainilla integral,Primero,459,5.7,27.5,8.3,5.1,Africa,Crudo
Ensalada de pasta chocolate sin gluten,Primero,438,6.3,30.2,10.3,4.8,Asia,Frito
Sopa miso fresa integral,Primero,516,12.3,31.4,14.4,3.1,Europa,Crudo
Pollo asado coco bajo en grasas,Segundo,498,19.9,12.6,15.2,3.5,Oceania,Frito
Salmon al horno limon sin gluten,Segundo,292,27.8,15.8,11.4,4.5,Africa,Cocido
Chuletas de cerdo coco sin azucar,Segundo,591,18.2,9.6,20.8,3.7,Oceania,Frito
Lomo de res coco sin azucar,Segundo,457,23.5,26.6,22.7,4.3,Oceania,Horno
Pescado frito manzana bajo en grasas,Segundo,481,30.1,22.1,29.7,2.2,Africa,Cocido
Estofado de ternera manzana integral,Segundo,562,44.9,7.0,24.9,2.6,Oceania,Cocido
Paella limon alto en fibra,Segundo,153,36.9,20.9,35.8,2.6,Asia,Frito
Fajitas de pollo fresa sin azucar,Segundo,673,18.0,12.2,20.4,4.2,Africa,Crudo
Tacos de pescado fresa alto en fibra,Segundo,438,31.9,23.9,19.6,4.0,Europa,Crudo
Hamburguesa casera limon vegetariano,Segundo,442,36.0,10.0,39.9,1.4,Africa,Frito
Curry de pollo limon bajo en grasas,Segundo,386,27.6,26.8,36.9,2.2,Europa,Cocido
Pollo al curry limon integral,Segundo,158,16.5,19.2,18.8,4.5,Asia,Cocido
Filete de pescado fresa sin azucar,Segundo,412,46.9,25.4,12.1,3.2,Asia,Frito
Carne guisada coco alto en fibra,Segundo,397,47.6,23.4,25.1,3.7,Oceania,Cocido
Costillas de cerdo manzana integral,Segundo,495,22.9,8.4,37.0,0.4,America,Frito
Arroz con pollo coco alto en fibra,Segundo,387,47.9,26.6,12.2,3.3,Europa,Frito
Lasaña mango alto en fibra,Segundo,631,29.1,20.1,22.4,1.6,America,Asado
Pizza margarita vainilla alto en fibra,Segundo,524,32.8,12.2,39.7,2.4,Africa,Asado
Pizza de pepperoni chocolate sin gluten,Segundo,514,15.0,17.4,39.6,1.8,Asia,Crudo
Pasta boloñesa naranja alto en fibra,Segundo,408,36.8,21.2,35.6,2.0,Oceania,Horno
Pastel de chocolate chocolate integral,Postre,292,4.0,62.3,19.5,3.2,Oceania,Asado
Helado de vainilla naranja bajo en grasas,Postre,630,6.2,37.9,13.2,2.3,Europa,Frito
Tarta de manzana fresa sin azucar,Postre,274,5.2,69.8,10.6,2.0,Europa,Cocido
Flan limon integral,Postre,536,4.1,71.1,23.7,1.7,Africa,Horno
Brownie vainilla alto en fibra,Postre,484,4.9,64.8,20.3,1.8,Europa,Crudo
Mousse de limon vainilla vegetariano,Postre,640,7.7,71.8,24.6,4.4,America,Crudo
Galletas de avena chocolate sin gluten,Postre,462,2.6,54.2,11.6,1.9,Asia,Cocido
Pan dulce manzana vegetariano,Postre,263,6.6,62.3,22.7,1.4,America,Crudo
Churros limon vegetariano,Postre,588,7.1,43.0,28.1,4.7,Europa,Cocido
Arroz con leche coco bajo en grasas,Postre,674,3.4,75.0,10.2,5.0,Oceania,Crudo
Pastel de zanahoria coco alto en fibra,Postre,391,4.3,76.2,19.9,2.9,Europa,Frito
Helado de fresa mango sin gluten,Postre,662,7.4,44.3,14.7,3.3,Africa,Frito
Tarta de queso vainilla vegetariano,Postre,654,4.2,32.7,5.7,3.7,Africa,Horno
Panna cotta mango sin azucar,Postre,525,7.7,75.7,13.7,3.2,Asia,Cocido
Crema catalana coco bajo en grasas,Postre,271,6.8,67.2,26.2,4.6,Africa,Asado
Galletas de chocolate chocolate bajo en grasas,Postre,257,7.8,61.9,17.7,4.0,Africa,Frito
Pastel selva negra limon bajo en grasas,Postre,162,7.8,47.8,29.2,2.6,Africa,Crudo
Cheesecake de limon naranja alto en fibra,Postre,473,4.4,57.1,29.8,4.5,Asia,Horno
Yogur natural coco bajo en grasas,Postre,163,4.1,41.6,14.7,2.3,America,Horno
Yogur de frutas manzana sin gluten,Postre,691,6.6,76.8,25.5,2.5,Oceania,Horno
Sopa de verduras chocolate alto en fibra,Primero,694,11.4,12.1,11.8,5.7,Oceania,Horno
Ensalada Cesar vainilla sin gluten,Primero,386,9.3,25.1,14.4,4.0,America,Cocido
Crema de calabaza fresa sin gluten,Primero,298,7.3,34.3,11.3,2.0,America,Crudo
Minestrone vainilla vegetariano,Primero,557,12.2,11.3,13.5,8.0,America,Frito
Gazpacho manzana alto en fibra,Primero,160,5.2,39.9,4.9,2.9,Asia,Frito
Sopa de pollo manzana vegetariano,Primero,199,12.5,12.7,8.5,3.5,Asia,Asado
Caldo gallego vainilla integral,Primero,200,11.3,25.8,6.4,8.5,Oceania,Frito
Salmorejo naranja integral,Primero,203,9.7,15.8,11.0,6.2,Africa,Crudo
Crema de esparragos naranja bajo en grasas,Primero,624,6.2,19.6,5.9,7.6,Oceania,Crudo
Consome chocolate sin azucar,Primero,577,8.4,36.4,7.1,5.9,America,Asado
Ensalada griega limon alto en fibra,Primero,299,9.5,21.3,8.3,5.2,America,Cocido
Ensalada caprese manzana integral,Primero,273,5.4,13.3,13.2,9.5,America,Cocido
Crema de champiñones limon bajo en grasas,Primero,643,10.6,38.5,7.9,2.0,Africa,Cocido
Vichyssoise fresa vegetariano,Primero,267,12.5,12.3,13.2,9.0,Oceania,Crudo
Sopa de lentejas mango integral,Primero,509,14.5,30.5,11.4,4.7,America,Asado
Ensalada rusa chocolate alto en fibra,Primero,247,14.5,24.8,13.8,7.6,Europa,Asado
Crema de zanahoria naranja alto en fibra,Primero,473,9.9,11.6,7.7,8.6,Asia,Horno
Ensalada de quinoa limon integral,Primero,425,13.0,13.7,8.8,7.4,America,Horno
Ensalada de pasta vainilla integral,Primero,550,14.9,25.6,3.7,4.9,Asia,Horno
Sopa miso limon sin azucar,Primero,606,12.5,26.7,5.2,2.8,Africa,Frito
Pollo asado coco sin azucar,Segundo,340,39.6,14.1,32.7,2.1,America,Asado
Salmon al horno manzana alto en fibra,Segundo,293,45.5,21.7,36.0,3.7,Oceania,Frito
Chuletas de cerdo naranja sin azucar,Segundo,275,27.7,25.5,27.0,4.5,Europa,Horno
Lomo de res mango bajo en grasas,Segundo,459,32.4,15.4,19.0,4.4,Asia,Cocido
Pescado frito fresa sin azucar,Segundo,581,45.1,11.2,13.6,0.7,Europa,Horno
Estofado de ternera naranja sin gluten,Segundo,344,40.7,21.7,31.4,1.7,Europa,Horno
Paella naranja alto en fibra,Segundo,489,34.0,26.7,25.0,4.6,Africa,Crudo
Fajitas de pollo limon integral,Segundo,416,30.8,23.7,39.0,4.4,America,Cocido
Tacos de pescado mango alto en fibra,Segundo,325,40.5,5.3,34.9,2.7,America,Cocido
Hamburguesa casera limon bajo en grasas,Segundo,587,29.9,14.2,17.8,4.6,Oceania,Frito
Curry de pollo chocolate sin azucar,Segundo,636,36.2,25.3,34.8,4.3,Europa,Asado
Pollo al curry fresa bajo en grasas,Segundo,191,34.2,25.3,12.2,4.5,Asia,Frito
Filete de pescado chocolate integral,Segundo,519,40.0,5.5,33.8,0.6,America,Horno
Carne guisada limon integral,Segundo,549,44.7,6.2,13.0,3.4,Asia,Asado
Costillas de cerdo fresa integral,Segundo,224,18.7,20.0,33.2,1.3,Africa,Frito
Arroz con pollo vainilla vegetariano,Segundo,229,46.3,25.3,25.3,1.4,Asia,Crudo
Lasaña vainilla integral,Segundo,197,25.4,24.9,29.7,3.0,Asia,Crudo
Pizza margarita limon sin gluten,Segundo,210,33.2,7.5,19.8,4.5,Oceania,Asado
Pizza de pepperoni manzana integral,Segundo,584,38.8,17.3,22.4,3.2,Europa,Crudo
Pasta boloñesa manzana sin azucar,Segundo,507,38.9,15.9,37.8,1.6,America,Cocido
Pastel de chocolate vainilla sin gluten,Postre,655,6.1,72.2,6.9,2.8,America,Frito
Helado de vainilla chocolate alto en fibra,Postre,672,7.2,51.5,9.8,4.6,Europa,Crudo
Tarta de manzana vainilla sin gluten,Postre,688,3.5,72.6,9.6,1.5,America,Crudo
Flan limon integral,Postre,412,6.1,66.4,11.6,1.0,Africa,Crudo
Brownie naranja sin gluten,Postre,678,6.3,78.5,20.4,4.1,Europa,Horno
Mousse de limon mango integral,Postre,538,2.9,77.3,29.3,3.2,America,Crudo
Galletas de avena coco vegetariano,Postre,477,7.4,39.2,16.4,1.5,Oceania,Crudo
Pan dulce mango sin azucar,Postre,252,3.6,71.3,9.8,2.6,Africa,Frito
Churros coco vegetariano,Postre,667,5.8,78.7,25.3,1.9,Oceania,Horno
Arroz con leche limon sin azucar,Postre,537,7.5,56.9,28.2,2.1,Europa,Asado
Pastel de zanahoria mango bajo en grasas,Postre,572,2.6,75.8,22.9,1.5,America,Horno
Helado de fresa chocolate bajo en grasas,Postre,610,5.8,65.9,25.7,1.3,Europa,Asado
Tarta de queso limon integral,Postre,523,3.2,65.2,19.6,3.7,Oceania,Frito
Panna cotta mango vegetariano,Postre,401,6.7,30.8,15.5,3.3,Europa,Asado
Crema catalana vainilla alto en fibra,Postre,407,3.7,67.0,27.1,3.5,Europa,Frito
Galletas de chocolate fresa alto en fibra,Postre,361,5.7,73.8,17.9,2.7,Europa,Horno
Pastel selva negra naranja sin gluten,Postre,290,4.0,35.3,6.0,4.1,Europa,Horno
Cheesecake de limon vainilla sin azucar,Postre,471,4.2,37.9,10.8,2.9,America,Frito
Yogur natural manzana sin azucar,Postre,301,5.2,71.9,22.0,3.3,Asia,Cocido
